id,judul,thumbnail,status,tahun,deskripsi,durasi,created_on,last_modified,user_create_id,user_update_id
29,The Avengers,film_images/0029.jpg,Released,2012,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",143,2023-05-07 11:39:12.430267,2023-05-07 11:39:12.430291,,
30,Hacker,film_images/0030.jpg,Released,2019,"13-year-old Benjamin discovers that his mother didn’t die in an accident as he was led to believe. The trail leads to high-ranking officials in the Danish Secret Service. ""Trust no one!"", he is told.",95,2023-05-07 11:39:12.430268,2023-05-07 11:39:12.430292,,
31,Happy Death Day 2U,film_images/0031.jpg,Released,2019,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",100,2023-05-07 11:39:12.430269,2023-05-07 11:39:12.430293,,
32,Herbie Fully Loaded,film_images/0032.jpg,Released,2005,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.",101,2023-05-07 11:39:12.430270,2023-05-07 11:39:12.430294,,
33,Home Alone,film_images/0033.jpg,Released,1990,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before Christmas Day.",103,2023-05-07 11:39:12.430271,2023-05-07 11:39:12.430295,,
34,Home Alone 2: Lost in New York,film_images/0034.jpg,Released,1992,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",120,2023-05-07 11:39:12.430272,2023-05-07 11:39:12.430296,,
35,Home Alone 3,film_images/0035.jpg,Released,1997,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back.",102,2023-05-07 11:39:12.430273,2023-05-07 11:39:12.430297,,
36,Home Alone 4,film_images/0036.jpg,Released,2002,"Kevin McCallister's parents have split up. Now living with his mom, he decides to spend Christmas with his dad at the mansion of his father's rich girlfriend, Natalie. Meanwhile robber Marv Merchants, one of the villains from the first two movies, partners up with a new criminal named Vera to hit Natalie's mansion.",89,2023-05-07 11:39:12.430274,2023-05-07 11:39:12.430298,,
37,Home Alone: The Holiday Heist,film_images/0037.jpg,Released,2012,"8-year-old Finn is terrified to learn his family is relocating from sunny California to Maine in the scariest house he has ever seen! Convinced that his new house is haunted, Finn sets up a series of elaborate traps to catch the “ghost” in action. Left home alone with his sister while their parents are stranded across town, Finn’s traps catch a new target – a group of thieves who have targeted Finn’s house.",87,2023-05-07 11:39:12.430275,2023-05-07 11:39:12.430299,,
38,Home Sweet Home Alone,film_images/0038.jpg,Released,2021,"After being left at home by himself for the holidays, 10-year-old Max Mercer must work to defend his home from a married couple who tries to steal back a valuable heirloom.",93,2023-05-07 11:39:12.430276,2023-05-07 11:39:12.430300,,
39,Hulk,film_images/0039.jpg,Released,2003,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",138,2023-05-07 11:39:12.430277,2023-05-07 11:39:12.430301,,
40,It,film_images/0040.jpg,Released,2017,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",135,2023-05-07 11:39:12.430278,2023-05-07 11:39:12.430302,,
41,It Chapter Two,film_images/0041.jpg,Released,2019,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",169,2023-05-07 11:39:12.430279,2023-05-07 11:39:12.430303,,
42,Midsommar,film_images/0042.jpg,Released,2019,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",148,2023-05-07 11:39:12.430280,2023-05-07 11:39:12.430304,,
43,Ngeri-Ngeri Sedap,film_images/0043.jpg,Released,2022,A married couple stages their divorce in order to encourage their estranged adult children to return to their hometown.,114,2023-05-07 11:39:12.430281,2023-05-07 11:39:12.430305,,
44,Mission: Impossible,film_images/0044.jpg,Released,1996,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",110,2023-05-07 11:39:12.430282,2023-05-07 11:39:12.430306,,
45,Mission: Impossible - Fallout,film_images/0045.jpg,Released,2018,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",147,2023-05-07 11:39:12.430283,2023-05-07 11:39:12.430307,,
46,The Mummy,film_images/0046.jpg,Released,1999,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,110,2023-05-07 11:39:12.430284,2023-05-07 11:39:12.430308,,
47,Monster Trucks,film_images/0047.jpg,Released,2016,"Tripp is a high school senior with a knack for building trucks who makes an incredible discovery - a gas-guzzling creature named Creech. To protect his mischievous new friend, Tripp hides Creech under the hood of his latest creation, turning it into a real-life super-powered Monster Truck. Together, this unlikely duo with a shared taste for speed team up on a wild and unforgettable journey to reunite Creech with his family.",105,2023-05-07 11:39:12.430285,2023-05-07 11:39:12.430309,,
48,The Nun,film_images/0048.jpg,Released,2018,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",96,2023-05-07 11:39:12.430286,2023-05-07 11:39:12.430310,,
49,Titanic,film_images/0049.jpg,Released,1997,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",194,2023-05-07 11:39:12.430287,2023-05-07 11:39:12.430311,,
50,Teen Spirit,film_images/0050.jpg,Released,2019,"A shy teenager living on the Isle of Wight dreams of pop stardom. With the help of an unlikely mentor, she enters a singing competition that will test her integrity, talent, and ambition.",92,2023-05-07 11:39:12.430288,2023-05-07 11:39:12.430312,,
51,Beyond the Boundary: I'll Be Here – Future,film_images/0051.jpg,Released,2015,"The battle is over, and they can go about their normal lives now... or so they thought. With no time to rejoice after miraculously saving Mirai from Beyond the Boundary, Mirai lost all her memories. Akihito, now a high school senior, starts to avoid Mirai thinking it’s for the better. Not aware of Akihito’s feelings, Mirai tries to get closer to Akihito. Then, someone who knows of Mirai appears in front of the two. With Akihito’s troubles in vain, Mirai once again sets forth on a battle that forces her to look within.",90,2023-05-07 11:39:12.430289,2023-05-07 11:39:12.430313,,
52,Beyond the Boundary: I'll Be Here – Past,film_images/0052.jpg,Released,2015,"It all began quite suddenly. Akihito, who appears human but is actually half yomu with the power to quickly heal himself, sees a freshman girl who appears ready to jump from the school rooftop. The girl, Mirai, who has the ability to manipulate blood, which is unique even among members of the spirit world, continues to fight her isolation. Akihito decides at that moment to save Mirai, but disturbing events soon begin to unfold.",90,2023-05-07 11:39:12.430290,2023-05-07 11:39:12.430314,,
53,Boruto: Naruto the Movie,film_images/0053.jpg,Released,2015,"Uzumaki Boruto has inherited the mischievous spirit and endless energy from his famous father. As he enters his Chunin exams, a harsh decision made by Naruto angers Boruto. This causes their personalities to clash and awakens a fierce ambition within the young shinobi to surpass his father with his own skills and techniques. But in order to do so, he will need the help of none other than Uchiha Sasuke. Although Boruto has convinced himself that he has what it takes to surpass him, he soon discovers that the road ahead is not nearly as simple as the young shinobi had envisioned.",95,2023-05-07 11:39:12.430291,2023-05-07 11:39:12.430315,,
54,Bubble,film_images/0054.jpg,Released,2022,"In an abandoned Tokyo overrun by bubbles and gravitational abnormalities, one gifted young man has a fateful meeting with a mysterious girl.",70,2023-05-07 11:39:12.430292,2023-05-07 11:39:12.430316,,
55,Children who Chase Lost Voices,film_images/0055.jpg,Released,2011,"Strange sounds in the darkness... Unearthly music from an old crystal radio... These are all the warning Asuna Watase has before a simple walk to her clubhouse catapults her into a nightmarish adventure that will take her beneath the Earth to a lost land beyond the realm of legend! Attacked by a strange monstrous creature, rescued by a mysterious stranger and pursued by a relentless enemy, Asuna finds herself enmeshed in a centuries old mystery that will bind her to a strange young defender and lead her inevitably, towards a secret that may hold the key to life itself! (Source: Sentai Filmworks)",116,2023-05-07 11:39:12.430293,2023-05-07 11:39:12.430317,,
56,Code Geass: Akito the Exiled - The Wyvern Divided,film_images/0056.jpg,Released,2013,"With her previous triumphs under her belt, Leila Malcal has now been promoted to Lieutenant Colonel and commanding officer of W-0. After having foiled an attempt to kidnap the General of the European army, she recruits the three perpetrators in order to make up for the lack of W-0's pilots. Ayano Kosaka, Yukiya Naruse, and ringleader Ryou Sayama accept, in hopes of finding a place to belong. When they are ordered to perform a commando raid by dropping into enemy lines, Leila decides to join them to prevent unnecessary casualties. As the unit rushes into the fight, Akito finds himself possessed by an uncontrollable lust for violence, slaughtering anyone that gets in his way. Little does he know, he is soon to come face to face with the one responsible for placing the bloodthirsty curse upon him, someone he is far too familiar with... (Source: MAL Rewrite)",60,2023-05-07 11:39:12.430294,2023-05-07 11:39:12.430318,,
57,Date A Bullet: Dead or Bullet & Nightmare or Queen,film_images/0057.jpg,Released,2020,The second part of Date A Bullet.,70,2023-05-07 11:39:12.430295,2023-05-07 11:39:12.430319,,
58,"Farewell, My Dear Cramer: First Touch",film_images/0058.jpg,Released,2021,"Based on a sport manga by Arakawa Naoshi.Onda Nozomi is a middle school student who is constantly sitting on the bench because her school only has a boy's soccer club and no girl's soccer club. Nozomi keeps pestering the coach to let her play, and she wants to take to the field during the upcoming season to prove that she can play just as well as any boy to Tani, a rival player and former childhood friend.Source: crunchyroll",105,2023-05-07 11:39:12.430296,2023-05-07 11:39:12.430320,,
59,Demon Slayer the Movie: Mugen Train,film_images/0059.jpg,Released,2020,"Based on an action fantasy shounen manga by Gotouge Koyoharu.Falling forever into an endless dream...Tanjirou and the group have completed their rehabilitation training at the Butterfly Mansion, and they arrive to their next mission on the Mugen Train, where over 40 people have disappeared in a very short period of time.Tanjirou and Nezuko, along with Zen'itsu and Inosuke, join one of the most powerful swordsmen within the Demon Slayer Corps, Flame Hashira Rengoku Kyoujurou, to face the demon aboard the Mugen Train on track to despair.Source: Official website",117,2023-05-07 11:39:12.430297,2023-05-07 11:39:12.430321,,
60,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",film_images/0060.jpg,Released,2017,"The film is set on one day during summer vacation, and follows a group of boys who try to view a fireworks display from the town lighthouse to see if they look round or flat when viewed from the side. Meanwhile, one of the boys, Norimichi, receives an invitation from his crush Nazuna to run away with her. (Source: Anime News Network)",90,2023-05-07 11:39:12.430298,2023-05-07 11:39:12.430322,,
